doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
shopee-ip-violations,data\chinh-sach-shopee\shopee-ip-violations.md,Quy định vi phạm quyền sở hữu trí tuệ Shopee,https://help.shopee.vn/portal/4/article/77251?previousPage=other+articles,2026-08-03,not-stated,public-page
shopee-payment-limits,data\chinh-sach-shopee\shopee-payment-limits.md,Hạn mức thanh toán Shopee,https://help.shopee.vn/portal/4/article/77265?previousPage=other+articles,2026-08-03,not-stated,public-page
shopee-privacy-policy,data\chinh-sach-shopee\shopee-privacy-policy.md,Chính sách bảo mật Shopee,https://help.shopee.vn/portal/4/article/77244?previousPage=other+articles,2026-08-03,not-stated,public-page
shopee-prohibited-items,data\chinh-sach-shopee\shopee-prohibited-items.md,Quy chế hoạt động sàn Shopee,https://help.shopee.vn/portal/4/article/77247?previousPage=other+articles,2026-08-03,not-stated,public-page
shopee-returns-policy,data\chinh-sach-shopee\shopee-returns-policy.md,Chính sách trả hàng và hoàn tiền Shopee,https://help.shopee.vn/portal/4/article/77245?previousPage=other+articles,2026-08-03,not-stated,public-page
shopee-seller-penalty-system,data\chinh-sach-shopee\shopee-seller-penalty-system.md,Hệ thống Sao Quả Tạ Shopee,https://help.shopee.vn/portal/4/article/77262?previousPage=other+articles,2026-08-03,not-stated,public-page
shopee-shipping-policy,data\chinh-sach-shopee\shopee-shipping-policy.md,Chính sách vận chuyển Shopee,https://help.shopee.vn/portal/4/article/77246?previousPage=other+articles,2026-08-03,not-stated,public-page
shopee-shop-name-policy,data\chinh-sach-shopee\shopee-shop-name-policy.md,Quy định đặt tên Shop Shopee,https://help.shopee.vn/portal/4/article/77250?previousPage=other+articles,2026-08-03,not-stated,public-page
shopee-spam-listings,data\chinh-sach-shopee\shopee-spam-listings.md,Chính sách chống đăng bán spam Shopee,https://help.shopee.vn/portal/4/article/77252?previousPage=other+articles,2026-08-03,not-stated,public-page
shopee-terms-of-service,data\chinh-sach-shopee\shopee-terms-of-service.md,Điều khoản dịch vụ Shopee,https://help.shopee.vn/portal/4/article/77243?previousPage=other+articles,2026-08-03,not-stated,public-page
